id,card_no,name_cn,name_jp,craft,card_type,type,rare,from,cost,attack,life,desc_cn,desc_jp,related_card_nos,title,race,drawer,speech
5445,BP16-P07,卓越的鲁米那斯法师,卓越のルミナスメイジ,Sword,Follower,指揮官・ルミナス,SR_P,BP16,2,1,1,"《入场曲》将1个『战盾卫士』或1个『骑士』召唤到场上。
《起动》《消费0》：选择敌方场上的1个从者。给予其5点伤害。抽取1张卡。这个能力在自己场上的「卡片名各不相同的士兵类型·衍生物·从者」为3个及以上的话，在1回合可以使用1次。","ファンファーレ『シールドガーディアン』1体か『ナイト』1体を場に出す。
起動コスト0：相手の場のフォロワー1体を選ぶ。それに5ダメージ。1枚引く。この能力は自分の場の「それぞれカード名が異なる兵士・トークン・フォロワー」が3体以上なら、1ターンに1回使える。",BP16-T12 BP16-T14,,,Gen,
5446,BP16-P08,王断的威光,王断の威光,Sword,Spell,指揮官・貴族,BR_P,BP16,3,-1,-1,"从下述之中抉择1项。这个回合，如果已有自己场上的从者进化的话，转变为最多2项。
【1】将1个『铁甲骑士』与1个『战盾卫士』与1个『骑士』召唤到场上。
【2】使自己场上的全体士兵类型·衍生物·从者各《攻击力》+1/《生命值》+1。","下記から1つチョイスする。このターン、自分の場のフォロワーが進化していたなら、代わりに2つまで。
【1】『スティールナイト』1体と『シールドガーディアン』1体と『ナイト』1体を場に出す。【2】自分の場の兵士・トークン・フォロワーすべては攻撃力+1/体力+1する。",BP16-T12 BP16-T13 BP16-T14,,,ねつき,
5447,BP16-P09,理光天宫·爱蒂伦瓦思,理光の天宮・エーデルワイス,Rune,Follower,魔法使い・ゴーレム,GR_P,BP16,3,3,3,《进化》《消费1》：使这张卡进化。,進化コスト1：これは進化する。,BP16-P10,,,,"仮面をつけしは、理をリ解し光で示す幼き賢人。
その本性は、仮面の下に隠されたまま。"
5448,BP16-P10,理光天宫·爱蒂伦瓦思,理光の天宮・エーデルワイス,Rune,FollowerEvo,魔法使い・ゴーレム,GR_P,BP16,-1,4,4,"当巨像类型·从者召唤到自己的场上时，将自己场上的【蓄积】+1。
【进化时】将1个『攻击型巨像』召唤到场上。将1张『防御型巨像』卡置于EX区域。
【超进化时】抽取2张卡。","自分の場にゴーレム・フォロワーが出たとき、自分の場の【スタック】を+1する。
【進化時】『攻撃型ゴーレム』1体を場に出す。『防御型ゴーレム』1枚をEXエリアに置く。
【超進化時】2枚引く。",BP12-T06 BP12-T07 BP16-P09,,,,
5449,BP16-P11,做作业啦！,宿題やるですぅ！,Rune,Spell,魔法使い・学院,GR_P,BP16,1,-1,-1,"抽取1张卡。如果自己的墓场中的学院类型·卡片为5张及以上的话，将1张『有所成长了！』卡置于EX区域。
―――――――――――――――
『有所成长了！』《巫师职业》魔法使·学院类型·法术《消费0》选择敌方场上的1个从者。给予其2点伤害。抽取1张卡。将自己的1张手牌舍弃。","1枚引く。自分の墓場の学院・カードが5枚以上なら、『成長したですぅ！』1枚をEXエリアに置く。
―――――――――――――――
『成長したですぅ！』ウィッチ魔法使い・学院・スペルコスト0相手の場のフォロワー1体を選ぶ。それに2ダメージ。1枚引く。自分の手札1枚を捨てる。",BP16-P29,,,えなれいん,
5450,BP16-P12,理光的证明,理光の証明,Rune,Spell,魔法使い・ゴーレム,BR_P,BP16,1,-1,-1,"从下述之中抉择1项。这个回合，如果已有自己场上的从者进化的话，转变为最多2项。
【1】将1个『大地之魔片』召唤到场上。使自己的主战者《生命值》+1。
【2】将1张『守护者巨像』卡置于EX区域。
―――――――――――――――
『守护者巨像』《巫师职业》巨像类型·从者《消费3》《攻击力》3/《生命值》5【守护】《谢幕曲》使自己的主战者《生命值》+2。","下記から1つチョイスする。このターン、自分の場のフォロワーが進化していたなら、代わりに2つまで。
【1】『大地の魔片』1つを場に出す。自分のリーダーは体力+1する。【2】『ガーディアンゴーレム』1枚をEXエリアに置く。
―――――――――――――――
『ガーディアンゴーレム』ウィッチゴーレム・フォロワーコスト3攻撃力3/体力5【守護】ラストワード自分のリーダーは体力+2する。",BP11-T08 BP16-T01,,,,
5451,BP16-P13,荣弦天宫·琉芙,栄弦の天宮・リュウフウ,Dragon,Follower,竜使い・ドラゴニュート,GR_P,BP16,3,3,3,《进化》《消费1》：使这张卡进化。,進化コスト1：これは進化する。,BP16-P14,,,ezusuke,"仮面をつけしは、龍髭の弦で弥栄を招くシン秘の龍人。
その本性は、仮面の下に隠されたまま。"
5452,BP16-P14,荣弦天宫·琉芙,栄弦の天宮・リュウフウ,Dragon,FollowerEvo,竜使い・ドラゴニュート,GR_P,BP16,-1,4,4,"【进化时】选择敌方场上的1个从者。给予其3点伤害。
【超进化时】将自己的PP最大值+1点。使自己的主战者《生命值》+2。","【進化時】相手の場のフォロワー1体を選ぶ。それに3ダメージ。
【超進化時】自分のPP最大値を+1する。自分のリーダーは体力+2する。",BP16-P13,,,ezusuke,
5453,BP16-P15,煌牙义勇·基德,煌牙の義勇・キット,Dragon,Follower,ドラゴニュート,SR_P,BP16,1,2,1,"当将这张卡从自己的手牌中舍弃时，可以将这张卡置于EX区域。
【突进】
《入场曲》如果处于【觉醒】状态的话，使这张卡《攻击力》+1，并获得【指定攻击】能力。","これを自分の手札から捨てたとき、これをEXエリアに置いてよい。
【突進】
ファンファーレ【覚醒】状態なら、これは攻撃力+1して、【指定攻撃】を持つ。",,,,PEPPY,
5454,BP16-P16,荣弦的奏乐,栄弦の奏楽,Dragon,Spell,竜使い・ドラゴニュート,BR_P,BP16,3,-1,-1,"从下述之中抉择1项。这个回合，如果已有自己场上的从者进化的话，转变为最多2项。
【1】使自己的主战者《生命值》+3。
【2】抽取2张卡。","下記から1つチョイスする。このターン、自分の場のフォロワーが進化していたなら、代わりに2つまで。
【1】自分のリーダーは体力+3する。【2】2枚引く。",,,,ezusuke,
5455,BP16-P17,瞑地天宫·穆坎,瞑地の天宮・ムカン,Nightmare,Follower,死霊術師・魔界,GR_P,BP16,3,3,3,《进化》《消费1》：使这张卡进化。,進化コスト1：これは進化する。,BP16-P18,,,おにねこ,"仮面をつけしは、荒地で瞑したコン魄を想う死の術師。
その本性は、仮面の下に隠されたまま。"
5456,BP16-P18,瞑地天宫·穆坎,瞑地の天宮・ムカン,Nightmare,FollowerEvo,死霊術師・魔界,GR_P,BP16,-1,4,4,"当死者类型·从者召唤到自己的场上时，使自己的主战者《生命值》+1。
【进化时】选择自己的墓场中的原始消费为3及以下的1张死者类型·从者卡。将其召唤到场上。
【超进化时】选择自己的墓场中的原始消费为3及以下的1张死者类型·从者卡。将其召唤到场上。使其获得【指定攻击】能力。","自分の場に死者・フォロワーが出たとき、自分のリーダーは体力+1する。
【進化時】自分の墓場の元のコスト3以下の死者・フォロワー1枚を選ぶ。それを場に出す。
【超進化時】自分の墓場の元のコスト3以下の死者・フォロワー1枚を選ぶ。それを場に出す。それは【指定攻撃】を持つ。",BP16-P17,,,おにねこ,
5457,BP16-P19,奇异探索者·尤娜,怪奇の探索者・ユナ,Nightmare,Follower,吸血鬼・キラー,SR_P,BP16,1,2,2,"《入场曲》将2张『怨灵』卡或2张『丛林蝙蝠』卡置于EX区域。
―――――――――――――――
『怨灵』《梦魇职业》死者类型·从者《消费1》《攻击力》1/《生命值》1【疾驰】当自己的结束阶段到来时，使这张卡消失。
『丛林蝙蝠』《梦魇职业》吸血鬼类型·从者《消费1》《攻击力》1/《生命值》1","ファンファーレ『ゴースト』2枚か『フォレストバット』2枚をEXエリアに置く。
―――――――――――――――
『ゴースト』ナイトメア死者・フォロワーコスト1攻撃力1/体力1【疾走】自分のエンドフェイズが来たとき、これは消滅する。
『フォレストバット』ナイトメア吸血鬼・フォロワーコスト1攻撃力1/体力1",BP16-T18 BP16-T19,,,ヘスン,
5458,BP16-P20,瞑地的灵园,瞑地の霊園,Nightmare,Amulet,死霊術師・魔界,BR_P,BP16,1,-1,-1,"《入场曲》将自己的牌堆顶1张卡置于墓场。
《起动》将这张卡《横置》置于墓场：将1个『怨灵』召唤到场上。这个能力在这个回合，如果已有自己场上的从者进化的话才可使用。
―――――――――――――――
『怨灵』《梦魇职业》死者类型·从者《消费1》《攻击力》1/《生命值》1【疾驰】当自己的结束阶段到来时，使这张卡消失。","ファンファーレ自分のデッキの上1枚を墓場に置く。
起動これをアクト墓場に置く：『ゴースト』1体を場に出す。この能力はこのターン、自分の場のフォロワーが進化していたなら使える。
―――――――――――――――
『ゴースト』ナイトメア死者・フォロワーコスト1攻撃力1/体力1【疾走】自分のエンドフェイズが来たとき、これは消滅する。",BP16-T18,,,おにねこ,
5459,BP16-P21,禁密天宫·罗纳威洛,禁密の天宮・ロナヴェロ,Haven,Follower,信仰・先導,GR_P,BP16,3,3,3,《进化》《消费1》：使这张卡进化。,進化コスト1：これは進化する。,BP16-P22,,,ni02,"仮面をつけしは、禁忌の者らを案じ密々と隠す審問カン。
その本性は、仮面の下に隠されたまま。"
5460,BP16-P22,禁密天宫·罗纳威洛,禁密の天宮・ロナヴェロ,Haven,FollowerEvo,信仰・先導,GR_P,BP16,-1,4,4,"【进化时】选择敌方场上的1个从者。将其攻击力变为0。将其生命值变为1。将其横置。
【超进化时】选择自己的墓场中的原始消费为4及以下的1张信仰类型·法术卡或原始消费为4及以下的1张信仰类型·护符卡。将其置于EX区域。这个回合，将其使用之际，将其消费-4。","【進化時】相手の場のフォロワー1体を選ぶ。それの攻撃力を0にする。それの体力を1にする。それをアクトする。
【超進化時】自分の墓場の元のコスト4以下の信仰・スペル1枚か元のコスト4以下の信仰・アミュレット1枚を選ぶ。それをEXエリアに置く。このターン、それをプレイする際、コストを-4する。",BP16-P21,,,ni02,
5461,BP16-P23,煌羽翼族·莉诺,煌翼のフェザーフォルク・リノ,Haven,Follower,先導・鳥族,SR_P,BP16,2,3,2,"【突进】
【攻击时】给予敌方的全体主战者各1点伤害。
《入场曲》如果这张卡以能力召唤到场上的话，使这张卡获得【指定攻击】与这个回合，「这张卡不会受到伤害」能力。","【突進】
【攻撃時】相手のリーダーすべてに1ダメージ。
ファンファーレこれが能力によって場に出ていたなら、これは【指定攻撃】とこのターン、「これはダメージを受けない」を持つ。",,,,岡田学彌,
5462,BP16-P24,禁密的圣地,禁密の聖地,Haven,Amulet,信仰・先導,BR_P,BP16,4,-1,-1,"《入场曲》选择敌方场上的1个从者。将其破坏。
《起动》将这张卡《横置》置于墓场：给予敌方的全体主战者各2点伤害。抽取1张卡。这个能力在这个回合，如果已有自己场上的从者进化的话才可使用。","ファンファーレ相手の場のフォロワー1体を選ぶ。それを破壊する。
起動これをアクト墓場に置く：相手のリーダーすべてに2ダメージ。1枚引く。この能力はこのターン、自分の場のフォロワーが進化していたなら使える。",,,,ni02,
5463,BP16-P25,乐朗天宫·斐尔特亚,楽朗の天宮・フィルドア,Neutral,Follower,シンガー・光輝,GR_P,BP16,3,3,3,"《进化》《消费1》：使这张卡进化。
【守护】","進化コスト1：これは進化する。
【守護】",BP16-P26,,,ShuLa,"仮面をつけしは、楽々と朗笑するも至難の志をダく若者。
その本性は、仮面の下に隠されたまま。"
5464,BP16-P26,乐朗天宫·斐尔特亚,楽朗の天宮・フィルドア,Neutral,FollowerEvo,シンガー・光輝,GR_P,BP16,-1,4,4,"【守护】
【进化时】选择敌方场上的1个从者。给予其3点伤害。
【超进化时】选择敌方场上的1张卡片。将其破坏。","【守護】
【進化時】相手の場のフォロワー1体を選ぶ。それに3ダメージ。
【超進化時】相手の場のカード1枚を選ぶ。それを破壊する。",BP16-P25,,,ShuLa,
5465,BP16-P27,改境天宫·亚露爱得,改境の天宮・アルエット,Neutral,Follower,超克・光輝,GR_P,BP16,4,3,3,"《入场曲》将1个『锋锐的创造物』召唤到场上。
―――――――――――――――
『锋锐的创造物』《中立职业》超克类型·从者《消费5》《攻击力》3/《生命值》4【突进】【吸血】","ファンファーレ『エッジアーティファクト』1体を場に出す。
―――――――――――――――
『エッジアーティファクト』ニュートラル超克・フォロワーコスト5攻撃力3/体力4【突進】【ドレイン】",BP13-T05,,,あめや,
5466,BP16-P28,改境的重启,改境の再動,Neutral,Spell,超克・光輝,SR_P,BP16,2,-1,-1,选择原始消费为5及以下的自己场上的1个超克类型·衍生物·从者。将与其同名的1个超克类型·衍生物·从者召唤到场上。,元のコスト5以下の自分の場の超克・トークン・フォロワー1体を選ぶ。それと同名の超克・トークン・フォロワー1体を場に出す。,,,,あめや,
5467,BP16-P29,有所成长了！,成長したですぅ！,Rune,SpellToken,魔法使い・学院,PR,BP16,0,-1,-1,,相手の場のフォロワー1体を選ぶ。それに2ダメージ。1枚引く。自分の手札1枚を捨てる。,,,,えなれいん,
5468,BP16-P30,守卫犬的右腕·米米,番犬の右腕・ミミ,Nightmare,FollowerToken,魔界,PR,BP16,1,2,2,,ラストワード相手の場のフォロワー1体を選ぶ。それに2ダメージ。自分のデッキの上1枚を墓場に置く。,,,,南保あたる,
5469,BP16-P31,守卫犬的左腕·可可,番犬の左腕・ココ,Nightmare,FollowerToken,魔界,PR,BP16,1,2,2,,ラストワード自分のリーダーは体力+2する。自分のデッキの上1枚を墓場に置く。,,,,南保あたる,
5470,BP16-P32,沉默的魔将,沈黙の魔将,Neutral,FollowerToken,魔王,PR,BP16,1,5,5,,【疾走】,,,,宮﨑章,
5471,BP16-P33,撒旦的从魔,サタンズサーヴァント,Neutral,FollowerToken,魔王,PR,BP16,1,8,8,,,,,,kakotomirai,
5472,BP16-P34,边狱的恶鬼,辺獄の悪鬼,Neutral,FollowerToken,魔王,PR,BP16,1,6,4,,"【守護】
ファンファーレ相手の場のフォロワー1体を選ぶ。それに6ダメージ。",,,,,
5473,BP16-P35,亚斯她录的宣判,アスタロトの宣告,Neutral,SpellToken,魔王,PR,BP16,10,-1,-1,,相手のリーダーすべての体力を1にする。,,,,皆葉英夫（CyDesignation）,
5474,BP16-SL01,自然妖精公主·阿丽雅,自然の妖精姫・アリア,Forest,Follower,妖精・プリンセス,SL,BP16,1,1,1,"《进化》《消费1》：使这张卡进化。
《入场曲》将2张『妖精』卡置于EX区域。
―――――――――――――――
『妖精』《精灵职业》妖精类型·从者《消费1》《攻击力》1/《生命值》1","進化コスト1：これは進化する。
ファンファーレ『フェアリー』2枚をEXエリアに置く。
―――――――――――――――
『フェアリー』エルフ妖精・フォロワーコスト1攻撃力1/体力1",BP16-SL02 BP16-T10,,,おにねこ,
5475,BP16-SL02,自然妖精公主·阿丽雅,自然の妖精姫・アリア,Forest,FollowerEvo,妖精・プリンセス,SL,BP16,-1,1,1,"【进化时】将1个『妖精』召唤到场上。
【超进化时】使自己场上与自己EX区域的全体妖精类型·衍生物·从者卡各《攻击力》+1/《生命值》+1。","【進化時】『フェアリー』1体を場に出す。
【超進化時】自分の場と自分のEXエリアの妖精・トークン・フォロワーすべては攻撃力+1/体力+1する。",BP16-SL01 BP16-T10,,,おにねこ,
5476,BP16-SL03,迈步之心·奥契丝,プロシードハート・オーキス,Forest,Follower,人形,SL,BP16,2,1,2,"《入场曲》将EX区域的2张『悬丝傀儡』卡消失：将1张『洛伊德』卡置于EX区域。
《起动》将这张卡《横置》：选择自己场上的1个『悬丝傀儡』。使其《攻击力》+1/《生命值》+1，并获得【疾驰】【必杀】能力。这个能力在自己的墓场中的人偶类型·卡片为3张及以上的话才可使用。
―――――――――――――――
『洛伊德』《精灵职业》人偶类型·从者《消费0》《攻击力》2/《生命值》4这张卡只要在场上存在，也视为『悬丝傀儡』使用。【守护】《入场曲》使自己的主战者《生命值》+2。","ファンファーレEXエリアの『操り人形』2枚を消滅：『ロイド』1枚をEXエリアに置く。
起動これをアクト：自分の場の『操り人形』1体を選ぶ。それは攻撃力+1/体力+1して、【疾走】【必殺】を持つ。この能力は自分の墓場の人形・カードが3枚以上なら使える。
―――――――――――――――
『ロイド』エルフ人形・フォロワーコスト0攻撃力2/体力4これは場にいる限り、『操り人形』でもある。【守護】ファンファーレ自分のリーダーは体力+2する。",BP14-T08 BP16-T11,,,ぽんず,
5477,BP16-SL04,兽之大女将·娜姿莉,獣の大女将・ナズリ,Forest,Follower,宴楽・獣,SL,BP16,3,2,2,《入场曲》如果「自己场上或自己EX区域的宴乐类型·卡片」合计为3张及以上的话，从自己的牌堆之中搜寻1张「与这张卡不同名的原始消费为3及以下的宴乐类型·从者卡」，并召唤到场上。,ファンファーレ自分の場や自分のEXエリアの宴楽・カードが3枚以上なら、自分のデッキから「これと同名を除く元のコスト3以下の宴楽・フォロワー」1枚を探し、場に出す。,,,,根岸千秋,
5478,BP16-SL05,白银骑士团长·艾蜜莉亚,白銀の騎士団長・エミリア,Sword,Follower,指揮官,SL,BP16,2,2,2,"《进化》《消费1》：使这张卡进化。
当自己的结束阶段到来时，可以将1张『铁甲骑士』卡或1张『战盾卫士』卡或1张『骑士』卡置于EX区域。","進化コスト1：これは進化する。
自分のエンドフェイズが来たとき、『スティールナイト』1枚か『シールドガーディアン』1枚か『ナイト』1枚をEXエリアに置いてよい。",BP16-SL06 BP16-T12 BP16-T13 BP16-T14,,,ぽんず,
5479,BP16-SL06,白银骑士团长·艾蜜莉亚,白銀の騎士団長・エミリア,Sword,FollowerEvo,指揮官,SL,BP16,-1,3,3,"当自己的结束阶段到来时，可以将1张『铁甲骑士』卡或1张『战盾卫士』卡或1张『骑士』卡置于EX区域。
【进化时】将自己的牌堆顶1张卡置于EX区域。
【超进化时】选择自己场上的1个士兵类型·从者。使其《攻击力》+4/《生命值》+4。","自分のエンドフェイズが来たとき、『スティールナイト』1枚か『シールドガーディアン』1枚か『ナイト』1枚をEXエリアに置いてよい。
【進化時】自分のデッキの上1枚をEXエリアに置く。
【超進化時】自分の場の兵士・フォロワー1体を選ぶ。それは攻撃力+4/体力+4する。",BP16-SL05 BP16-T12 BP16-T13 BP16-T14,,,ぽんず,
5480,BP16-SL07,雷维翁迅雷·阿尔贝尔,レヴィオンの迅雷・アルベール,Sword,Follower,指揮官・レヴィオン,SL,BP16,4,4,5,"【疾驰】
《入场曲》选择自己场上的其他的1个雷维翁类型·从者。使其《攻击力》+1。
《起动》《消费3》：将这张卡竖置。这个能力在自己的墓场中的《皇家护卫职业》从者卡为10张及以上的话，在1回合可以使用1次。","【疾走】
ファンファーレ自分の場の他のレヴィオン・フォロワー1体を選ぶ。それは攻撃力+1する。
起動コスト3：これをスタンドする。この能力は自分の墓場のロイヤルフォロワーが10枚以上なら、1ターンに1回使える。",,,,ell,
5481,BP16-SL08,艳丽的太夫·银音,艶やかなる太夫・ギンネ,Sword,Follower,宴楽,SL,BP16,2,3,2,"《入场曲》从下述之中抉择最多2项。如果自己的场上有『天下大盗贼·治右卫门』的话，转变为最多3项。
【1】选择敌方场上的1个从者。将其横置。使其在下个其玩家的开始阶段中不能竖置。
【2】抽取1张卡。将自己的1张手牌置于牌堆顶或牌堆底。
【3】将2张『闪耀的金币』卡置于EX区域。","ファンファーレ下記から2つまでチョイスする。自分の場に『天下の大泥棒・ジエモン』がいるなら、代わりに3つまで。
【1】相手の場のフォロワー1体を選ぶ。それをアクトする。それは次のそれのプレイヤーのスタートフェイズにスタンドしない。【2】1枚引く。自分の手札1枚をデッキの上か下に置く。【3】『輝く金貨』2枚をEXエリアに置く。",BP14-P05 BP14-P06 BP16-T15,,,毎日まにち,
5482,BP16-SL09,马纳历亚的亲爱挚友·安＆古蕾娅,マナリアフレンズ・アン＆グレア,Rune,Follower,魔法使い・学院・プリンセス,SL,BP16,5,4,4,"只要自己的墓场中的学院类型·卡片有10张及以上存在，使这张卡获得【疾驰】能力。
当自己的结束阶段到来时，如果自己的墓场中的学院类型·卡片为5张及以上的话，将1个『安的巨大英灵』召唤到场上。
《入场曲》将手牌中的2张学院类型·卡片舍弃：选择敌方场上的1个从者。给予其5点伤害。抽取2张卡。","自分の墓場に学院・カードが10枚以上ある限り、これは【疾走】を持つ。
自分のエンドフェイズが来たとき、自分の墓場の学院・カードが5枚以上なら、『アンの大英霊』1体を場に出す。
ファンファーレ手札の学院・カード2枚を捨てる：相手の場のフォロワー1体を選ぶ。それに5ダメージ。2枚引く。",BP13-P29,,,みけぼし,
5483,BP16-SL10,暴食的安纳提玛·菈菈安瑟姆,暴食のアナテマ・ララアンセム,Rune,Follower,アナテマ・魔法使い,SL,BP16,4,4,4,"《进化》《消费1》：使这张卡进化。
《入场曲》选择敌方场上的1个从者。给予其2点伤害。
《起动》【土之秘术】：使这张卡获得【指定攻击】能力。","進化コスト1：これは進化する。
ファンファーレ相手の場のフォロワー1体を選ぶ。それに2ダメージ。
起動【土の秘術】：これは【指定攻撃】を持つ。",BP16-SL11,,,ヘスン,
5484,BP16-SL11,暴食的安纳提玛·菈菈安瑟姆,暴食のアナテマ・ララアンセム,Rune,FollowerEvo,アナテマ・魔法使い,SL,BP16,-1,5,5,"【超进化时】选择敌方场上的从者最多2个。将其破坏。将自己场上的【蓄积】+2。
《谢幕曲》【土之秘术】将这张卡以横置状态召唤到场上。
《起动》【土之秘术】：使这张卡获得【指定攻击】能力。","【超進化時】相手の場のフォロワー2体まで選ぶ。それを破壊する。自分の場の【スタック】を+2する。
ラストワード【土の秘術】これをアクト状態で場に出す。
起動【土の秘術】：これは【指定攻撃】を持つ。",BP16-SL10,,,ヘスン,
5485,BP16-SL12,天命的编纂者·吉兹德温德,天命の編纂者・ジズドヴェンド,Rune,Follower,宴楽・禁忌,SL,BP16,3,3,3,"《进化》《消费1》：使这张卡进化。
当自己的结束阶段到来时，给予敌方的全体主战者各与「自己场上的其他的宴乐类型·从者的数量」等量的伤害。
《入场曲》抽取X张卡。X为「自己场上的其他的宴乐类型·从者的数量」。","進化コスト1：これは進化する。
自分のエンドフェイズが来たとき、相手のリーダーすべてに「自分の場の他の宴楽・フォロワーの数」と同じダメージ。
ファンファーレX枚引く。Xは「自分の場の他の宴楽・フォロワーの数」である。",BP16-SL13,,,budi,
5486,BP16-SL13,天命的编纂者·吉兹德温德,天命の編纂者・ジズドヴェンド,Rune,FollowerEvo,宴楽・禁忌,SL,BP16,-1,4,4,"当自己的结束阶段到来时，给予敌方的全体主战者各与「自己场上的其他的宴乐类型·从者的数量」等量的伤害。
【进化时】选择敌方场上的1个从者。给予其与「自己场上的宴乐类型·从者的数量」的2倍等量的伤害。","自分のエンドフェイズが来たとき、相手のリーダーすべてに「自分の場の他の宴楽・フォロワーの数」と同じダメージ。
【進化時】相手の場のフォロワー1体を選ぶ。それに「自分の場の宴楽・フォロワーの数」の2倍のダメージ。",BP16-SL12,,,budi,
5487,BP16-SL14,霸道龙翼·法露特,覇道の竜翼・フォルテ,Dragon,Follower,竜使い,SL,BP16,5,6,5,"【疾驰】【威压】（敌方不能对持有【威压】能力的从者进行攻击）
《入场曲》如果自己的PP最大值为10点的话，使这张卡《攻击力》+1，并获得【灵气】能力。（持有【灵气】能力的卡片，不能被敌方的卡片或能力所选择）","【疾走】【威圧】
ファンファーレ自分のPP最大値が10なら、これは攻撃力+1して、【オーラ】を持つ。",,,,liiko,"双眸は自由なる空を映し、双脚は空の覇道を歩む。
魔竜騎は空を駆け続ける――熱き闘志に、終わりは無い。"
5488,BP16-SL15,灼热的安纳提玛·班德奈特,灼熱のアナテマ・バーンドナイト,Dragon,Follower,アナテマ・ドラゴニュート,SL,BP16,7,5,5,"将这张卡使用之际，如果自己的墓场中的原始消费为7及以上的《龙族职业》卡片为4张及以上的话，将消费-2。
《进化》《消费1》：使这张卡进化。
《入场曲》将1张手牌舍弃：选择敌方场上的1个从者。给予其与「舍弃的卡片的消费值」等量的伤害。抽取1张卡。","これをプレイする際、自分の墓場の元のコスト7以上のドラゴンカードが4枚以上なら、コストを-2する。
進化コスト1：これは進化する。
ファンファーレ手札1枚を捨てる：相手の場のフォロワー1体を選ぶ。それに「捨てたカードのコスト」と同じダメージ。1枚引く。",BP16-SL16,,,岡田学彌,
5489,BP16-SL16,灼热的安纳提玛·班德奈特,灼熱のアナテマ・バーンドナイト,Dragon,FollowerEvo,アナテマ・ドラゴニュート,SL,BP16,-1,6,6,"当自己的结束阶段到来时，如果自己的墓场中的原始消费为7及以上的《龙族职业》卡片为7张及以上的话，给予敌方的全体主战者各7点伤害。
【进化时】将1张手牌舍弃：选择敌方场上的1个从者。给予其与「舍弃的卡片的消费值」等量的伤害。抽取1张卡。
【超进化时】使自己的主战者《生命值》+5。","自分のエンドフェイズが来たとき、自分の墓場の元のコスト7以上のドラゴンカードが7枚以上なら、相手のリーダーすべてに7ダメージ。
【進化時】手札1枚を捨てる：相手の場のフォロワー1体を選ぶ。それに「捨てたカードのコスト」と同じダメージ。1枚引く。
【超進化時】自分のリーダーは体力+5する。",BP16-SL15,,,岡田学彌,
5490,BP16-SL17,龙才的宠儿·妮露露,竜才の寵児・ニルル,Dragon,Follower,荒野・竜族,SL,BP16,2,1,1,"《进化》《消费1》：使这张卡进化。这个能力在处于【觉醒】状态的话才可使用。
《入场曲》如果自己的场上有载具类型·卡片的话，将自己的PP最大值+1点。","進化コスト1：これは進化する。この能力は【覚醒】状態なら使える。
ファンファーレ自分の場に乗物・カードがあるなら、自分のPP最大値を+1する。",BP16-SL18,,,ソーイチ,
5491,BP16-SL18,龙才的宠儿·妮露露,竜才の寵児・ニルル,Dragon,FollowerEvo,荒野・竜族,SL,BP16,-1,5,5,【进化时】选择持有《进化》能力的自己场上的1个「与这张卡不同名的荒野类型·从者」。使其进化。,【進化時】進化を持つ自分の場の「これと同名を除く荒野・フォロワー」1体を選ぶ。それは進化する。,BP16-SL17,,,ソーイチ,"レジーさんの巨大ペンチは、アタシのハートを折り曲げてった。
もう元の人生には戻れねぇ。アタシ、工具作りに一生かけるよ！"
5492,BP16-SL19,奔放的狱炎·凯尔贝洛斯,奔放なる獄炎・ケルベロス,Nightmare,Follower,魔界,SL,BP16,4,3,3,"《入场曲》将1个『守卫犬的右腕·米米』与1个『守卫犬的左腕·可可』召唤到场上。【死灵充能_10】使其各获得【疾驰】能力。
《起动》将这张卡《横置》将场上的其他的1个从者置于墓场：选择敌方场上的1个从者。给予其2点伤害。","ファンファーレ『番犬の右腕・ミミ』1体と『番犬の左腕・ココ』1体を場に出す。【ネクロチャージ_10】それは【疾走】を持つ。
起動これをアクト場の他のフォロワー1体を墓場に置く：相手の場のフォロワー1体を選ぶ。それに2ダメージ。",BP16-P30 BP16-P31,,,ShuLa,
5493,BP16-SL20,无尽猎人·阿拉加维,エンドレスハンター・アラガヴィ,Nightmare,Follower,挑戦者・獣,SL,BP16,5,4,4,"《进化》《消费1》：使这张卡进化。
《入场曲》主战者的《生命值》-2：抽取1张卡。","進化コスト1：これは進化する。
ファンファーレリーダーの体力-2：1枚引く。",BP16-SL21,,,ni02,"ただ、彼方へ進む。腹が減るから、飢えるから。
根こそぎ穿つは大棍棒・テトカマリ。目前の全ては獲物！"
5494,BP16-SL21,无尽猎人·阿拉加维,エンドレスハンター・アラガヴィ,Nightmare,FollowerEvo,挑戦者・獣,SL,BP16,-1,5,5,"【进化时】选择敌方场上的从者最多3个。给予其合计5点伤害、任意分配。如果自己的主战者的生命值为10及以下的话，转变为10点伤害。
【超进化时】使这张卡获得【疾驰】能力。","【進化時】相手の場のフォロワー3体まで選ぶ。それに5ダメージを割りふる。自分のリーダーの体力が10以下なら、代わりに10ダメージ。
【超進化時】これは【疾走】を持つ。",BP16-SL20,,,ni02,
